,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Giá,Loại tin,Loại BDS,Chính chủ,Pháp lý,DT,Chiều ngang,Chiều dài,Số lầu,Số phòng ngủ,Hướng,Đường trước nhà,Phòng ăn,Nhà bếp,Sân thượng,Chổ để xe hơi
113,Đường Tô Ký, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh,900 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,240 m,10m,24m,---,16,_,5m,---,---,---,---
114,Đường Bà Thiên, Xã Nhuận Đức, Huyện Củ Chi, Hồ Chí Minh,"1,2 tỷ",Cần bán,"Đất nông, lâm nghiệp",---,Sổ hồng/ Sổ đỏ,750 m,25m,30m,---,---,_,8m,---,---,---,Y
115,Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,850 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,210 m,10m,21m,---,14,_,5m,---,---,---,---
116,Đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,"4,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,56 m,---,15m,3,4,_,10m,---,---,---,---
117,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,750 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,64 m,4m,8m,1,2,_,8m,---,---,---,---
118,Đường Võ Thị Hồi, Xã Xuân Thới Đông, Huyện Hóc Môn, Hồ Chí Minh,"1,25 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,126 m,"5,5m",23m,---,7,_,5m,---,---,---,---
119,Đường Tỉnh lộ 10, Xã Phạm Văn Hai, Huyện Bình Chánh, Hồ Chí Minh,415 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,44 m,4m,6m,1,2,_,8m,---,---,---,---
120,Đường Dương Công Khi, Xã Tân Thới Nhì, Huyện Hóc Môn, Hồ Chí Minh,810 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,101 m,"4,5m",225m,1,1,_,6m,---,---,---,---
121,Đường Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh,"1,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,75 m,5m,15m,---,---,_,5m,---,---,---,---
122,Đường Thống Nhất, Phường 14, Quận Gò Vấp, Hồ Chí Minh,"1,25 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,115 m,5m,12m,2,3,_,"4,5m",Y,Y,Y,Y
123,Đường số 160, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh,"1,3 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,60 m,"4,5m","13,5m",1,2,_,4m,Y,Y,---,Y
124,Đường Lê Văn Việt, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh,"1,4 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,75 m,5m,15m,---,---,_,5m,---,---,---,---
125,Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh,"1,4 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,70 m,5m,15m,1,2,_,5m,---,---,---,---
126,Đường Nguyễn Oanh, Phường 17, Quận Gò Vấp, Hồ Chí Minh,"4,8 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,75 m,"4,5m",15m,4,5,_,12m,---,---,---,---
127,Đường Đỗ Xuân Hợp, Phường Phước Long A, Quận 9, Hồ Chí Minh,"1,2 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,89 m,---,---,---,---,_,12m,---,---,---,---
128,Đường Ấp Đình, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh,900 triệu / m,Cần bán,"Phòng trọ, nhà trọ",---,Sổ hồng/ Sổ đỏ,280 m,9m,31m,16,16,_,4m,---,---,---,Y
129,Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"1,38 tỷ",Cần bán,Nhà trong hẻm,---,---,72 m,4m,9m,1,2,_,4m,Y,Y,Y,Y
130,Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh,320 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,64 m,---,---,---,---,_,12m,---,---,---,---
131,Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh,"6,25 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,75 m,---,---,2,4,_,6m,Y,Y,Y,Y
132,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,460 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,40 m,4m,10m,1,2,_,8m,---,---,---,---
133,Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh,450 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,75 m,5m,15m,---,---,_,8m,---,---,---,---
134,Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh,"1,14 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,152 m,"10,8m",14m,---,---,_,12m,---,---,---,---
135,Đường Nguyễn Hữu Cảnh, Phường 25, Quận Bình Thạnh, Hồ Chí Minh,"1,85 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,80 m,6m,14m,16,2,_,10m,Y,Y,Y,Y
136,Đường Võ Thị Liễu, Phường An Phú Đông, Quận 12, Hồ Chí Minh,"5,6 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,200 m,---,---,3,4,_,12m,Y,Y,Y,Y
137,Đường Nguyễn Thái Sơn, Phường 3, Quận Gò Vấp, Hồ Chí Minh,"1,2 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,68 m,5m,"13,6m",1,2,_,5m,---,---,---,---
138,Đường Nguyễn Oanh, Phường 6, Quận Gò Vấp, Hồ Chí Minh,"4,9 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,220 m,4m,15m,3,4,_,12m,Y,Y,Y,Y
139,Đường Đoàn Văn Bơ, Phường 16, Quận 4, Hồ Chí Minh,"1,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,65 m,5m,13m,1,2,_,"4,5m",---,---,---,---
140,Đường Số 6, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Hồ Chí Minh,"6,3 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,70 m,5m,14m,3,4,_,6m,Y,Y,Y,Y
141,Đường Nguyễn Oanh, Phường 16, Quận Gò Vấp, Hồ Chí Minh,"4,8 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,3,4,_,12m,Y,Y,Y,Y
142,Tân Binh Đường Trung Mỹ Tây 2A, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh,"1,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,190 m,"9,5m",20m,1,15,_,8m,Y,Y,---,Y
143,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,450 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,64 m,---,---,1,2,_,12m,Y,Y,Y,Y
144,Đường Phan Văn Trị, Phường 13, Quận Bình Thạnh, Hồ Chí Minh,"15,5 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,110 m,"6,8m",18m,6,31,_,3m,---,---,---,---
145,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh,5 tỷ,Cần bán,Nhà mặt tiền,---,---,88 m,---,---,---,---,_,---,---,---,---,---
146,207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,"1,3 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,96 m,---,---,---,2,_,---,---,---,---,---
147,Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh,"6,8 tỷ",Cần bán,Nhà trong hẻm,---,---,60 m,4m,15m,2,4,_,6m,---,---,---,---
148,Đường Trần Văn Giàu, Phường Tân Tạo, Quận Bình Tân, Hồ Chí Minh,222 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,45 m,"3,5m",6m,1,2,_,12m,Y,Y,Y,Y
149,Đường Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Hồ Chí Minh,"1,3 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,72 m,---,---,---,2,_,---,---,---,---,---
150,Đường Xuân Thới Sơn, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,520 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,91 m,8m,"11,5m",---,---,Đông Nam,8m,---,---,---,Y
151,Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh,"1,5 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,---,---,_,12m,---,---,---,---
152,Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Huyện Bình Chánh, Hồ Chí Minh,900 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,150 m,5m,30m,---,---,_,15m,---,---,---,---
153,Đường Nguyễn Thái Bình, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh,"1,45 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,40 m,4m,10m,1,2,_,5m,---,---,---,---
154,Đường Cộng Hòa, Phường 12, Quận Tân Bình, Hồ Chí Minh,"1,4 tỷ",Cần bán,Căn hộ chung cư,---,Sổ hồng/ Sổ đỏ,97 m,---,---,---,3,_,---,---,---,---,---
155,Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Hồ Chí Minh,"6,1 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,60 m,4m,20m,3,4,_,16m,Y,Y,Y,Y
156,Đường Nguyễn Sơn, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh,"17,2 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,80 m,4m,18m,5,6,_,16m,Y,Y,Y,Y
157,Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh,"1,35 tỷ",Cần bán,Căn hộ chung cư,---,---,96 m,---,---,---,3,_,---,---,---,---,---
158,Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Hồ Chí Minh,"15,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,135 m,"9,2m",16m,---,---,_,10m,---,---,---,---
159,Đường Số 17, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,"6,1 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,70 m,4m,19m,3,3,_,16m,---,---,---,---
160,Đường Phạm Văn Hai, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh,385 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,68 m,4m,9m,1,2,_,12m,Y,Y,Y,Y
161,Đường Số 1, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"5,35 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,85 m,5m,17m,3,4,_,5m,Y,Y,Y,Y
162,Đường Liên Khu 5 - 6, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,"1,46 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,70 m,4m,"9,5m",1,2,_,8m,Y,Y,Y,Y
163,Đường Hương lộ 2, Phường Bình Trị Đông B, Quận Bình Tân, Hồ Chí Minh,"2,4 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,105 m,---,---,2,3,_,6m,Y,Y,Y,Y
164,Đường Nguyễn Ảnh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh,820 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Giấy tờ hợp lệ,240 m,9m,"26,6m",---,16,_,5m,Y,Y,Y,Y
165,Đường Dương Công Khi, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,480 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,65 m,4m,12m,1,3,_,12m,Y,Y,Y,Y
166,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,730 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,120 m,8m,15m,1,2,_,8m,---,---,---,---
167,Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh,5 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,300 m,---,---,3,4,_,12m,---,---,---,---
168,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,140 triệu / m,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,80 m,8m,10m,1,2,_,6m,---,---,---,---
169,Đường Võ Văn Kiệt, Phường 6, Quận 5, Hồ Chí Minh,27 tỷ,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,120 m,"8,8m","13,45m",3,4,Đông Nam,4m,Y,Y,Y,Y
170,Đường Lê Thị Hà, Thị trấn Hóc Môn, Huyện Hóc Môn, Hồ Chí Minh,720 triệu,Cần bán,"Đất thổ cư, đất ở",---,Giấy tờ hợp lệ,154 m,7m,22m,---,---,_,6m,---,---,---,---
171,Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh,820 triệu,Cần bán,"Phòng trọ, nhà trọ",---,Giấy tờ hợp lệ,270 m,9m,30m,---,---,_,7m,Y,Y,Y,Y
172,Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh,"1,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,77 m,"4,3m",18m,1,2,Đông Nam,15m,---,---,---,---
173,Tỉnh Lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh,"2,5 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,1.000 m,20m,50m,---,3,_,14m,---,---,---,---
174,Tân Binh Đường Song Hành, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh,790 triệu,Cần bán,Nhà mặt tiền,---,Giấy tờ hợp lệ,86 m,5m,17m,---,---,_,8m,---,---,---,Y
175,Đường Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh,650 triệu,Cần bán,"Đất thổ cư, đất ở",---,Giấy tờ hợp lệ,192 m,8m,24m,---,---,_,6m,Y,Y,Y,Y
176,Đường Lê Thị Hà, Xã Tân Xuân, Huyện Hóc Môn, Hồ Chí Minh,700 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,194 m,9m,"21,5m",---,---,_,6m,Y,Y,Y,Y
177,Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh,"1,68 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,30 m,3m,10m,3,3,Đông,8m,Y,Y,Y,Y
178,Đường Bàn Cờ, Phường 2, Quận 3, Hồ Chí Minh,"1,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,65 m,5m,13m,1,2,Đông Nam,30m,---,---,---,---
179,Đường Lê Văn Việt, Phường Tăng Nhơn Phú B, Quận 9, Hồ Chí Minh,"1,32 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,180 m,6m,30m,3,14,_,12m,---,---,---,---
180,Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,"1,3 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,1,2,Đông Nam,30m,---,---,---,---
181,Đường Nguyễn Tri Phương, Phường 5, Quận 10, Hồ Chí Minh,"4,9 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,50 m,5m,10m,1,2,_,6m,Y,Y,Y,Y
182,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,295 triệu,Cần bán,Căn hộ chung cư,---,Giấy tờ hợp lệ,30 m,4m,6m,---,1,_,8m,---,---,---,---
183,Đường Nguyễn Ảnh Thủ, Phường Hiệp Thành, Quận 12, Hồ Chí Minh,27 tỷ,Cần bán,Nhà mặt tiền,---,---,200 m,9m,25m,6,6,_,30m,---,---,---,---
184,Đường Đông Thạnh 1-2, Xã Đông Thạnh, Huyện Hóc Môn, Hồ Chí Minh,900 triệu,Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,42 m,4m,7m,2,2,_,3m,Y,Y,Y,---
185,Đường Nguyễn Văn Bứa, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh,"1,75 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,250 m,10m,25m,---,---,_,6m,---,---,---,---
186,Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Hồ Chí Minh,280 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,100 m,5m,20m,1,1,_,8m,---,---,---,---
187,Đường Đặng Dung, Phường Tân Định, Quận 1, Hồ Chí Minh,"8,7 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,50 m,---,---,2,5,_,6m,Y,Y,---,Y
188,Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh,"1,3 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,60 m,5m,12m,1,2,Đông Nam,30m,---,---,---,---
189,Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh,"3,9 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,76 m,4m,19m,3,3,_,3m,Y,Y,Y,Y
190,Đường Đỗ Công Tường, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh,"5,3 tỷ",Cần bán,Nhà trong hẻm,---,Giấy tờ hợp lệ,49 m,"4,1m",12m,2,3,_,6m,Y,Y,Y,Y
191,Đường Hưng Phú, Phường 8, Quận 8, Hồ Chí Minh,"1,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,77 m,"4,3m",18m,1,2,Đông Nam,15m,---,---,---,---
192,Đường Nguyễn Xiển, Phường Long Phước, Quận 9, Hồ Chí Minh,15 triệu / m,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,43.000 m,230m,260m,---,---,_,12m,---,---,---,---
193,Đường Nguyễn Chí Thanh, Phường 7, Quận 11, Hồ Chí Minh,40 tỷ,Cần bán,Nhà mặt tiền,---,Giấy tờ hợp lệ,91 m,"4,4m",21m,4,6,_,20m,---,---,---,---
194,Đường Nguyễn Thị Sóc, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh,450 triệu,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,52 m,5m,10m,---,2,_,20m,Y,Y,Y,Y
195,Đường Nguyễn Đình Chính, Phường 8, Quận Phú Nhuận, Hồ Chí Minh,"8,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,55 m,---,---,3,5,_,6m,Y,Y,---,Y
196,Đường Bình Quới, Phường 27, Quận Bình Thạnh, Hồ Chí Minh,"9,7 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,61 m,---,---,2,5,_,4m,Y,Y,Y,Y
197,Đường Bàn Cờ, Phường 2, Quận 3, Hồ Chí Minh,"1,5 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,65 m,5m,13m,1,2,Đông Nam,30m,---,---,---,---
198,Đường Cửu Long, Phường 2, Quận Tân Bình, Hồ Chí Minh,85 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,220 m,10m,22m,8,8,_,16m,---,---,---,---
199,Tỉnh Lộ 8, Xã Tân Thạnh Tây, Huyện Củ Chi, Hồ Chí Minh,"17,5 triệu / m",Cần bán,"Đất nền, liền kề, đất dự án",---,---,80 m,---,---,---,---,_,11m,---,---,---,---
200,Đường Lý Tự Trọng, Phường Bến Thành, Quận 1, Hồ Chí Minh,700 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,500 m,15m,25m,5,5,_,30m,---,---,---,---
201,Đường Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh,"4,7 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,452 m,20m,"22,6m",1,4,_,10m,Y,Y,Y,Y
202,Đường Út Tịch, Phường 4, Quận Tân Bình, Hồ Chí Minh,25 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,83 m,---,---,6,12,_,20m,Y,Y,Y,Y
203,Đường Xóm Chiếu, Phường 16, Quận 4, Hồ Chí Minh,"7,5 tỷ",Cần bán,Nhà mặt tiền,---,---,64 m,"4,5m",16m,4,4,_,10m,Y,Y,Y,Y
204,Đường Nguyễn Hoàng, Phường An Phú, Quận 2, Hồ Chí Minh,"2,4 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,161 m,7m,23m,---,---,_,32m,---,---,---,---
205,Đường Nguyễn Xiển, Phường Trường Thạnh, Quận 9, Hồ Chí Minh,8 tỷ,Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,80 m,6m,14m,4,5,_,9m,Y,Y,Y,---
206,Đường Số 17, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,"6,1 tỷ",Cần bán,Nhà mặt tiền,---,---,70 m,4m,17m,3,4,_,10m,---,---,---,---
207,Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,"4,8 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Sổ hồng/ Sổ đỏ,64 m,"4,25m",15m,4,4,_,12m,Y,Y,Y,Y
208,Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh,"2,4 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,80 m,5m,16m,---,---,_,12m,---,---,---,---
209,Đường Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, Hồ Chí Minh,"2,7 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,16 m,4m,4m,4,4,_,4m,---,---,---,---
210,Đường Phú Thọ Hòa, Phường Phú Thọ Hòa, Quận Tân Phú, Hồ Chí Minh,"5,3 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,76 m,"4,2m",18m,2,2,_,"3,5m",Y,Y,---,---
211,Đường Bùi Minh Trực, Phường 6, Quận 8, Hồ Chí Minh,"1,35 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,48 m,4m,12m,1,2,_,4m,---,---,---,---
212,Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Hồ Chí Minh,"3,8 tỷ",Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,150 m,5m,10m,3,4,_,8m,Y,Y,---,---
213,Đường Đoàn Như Hài, Phường 12, Quận 4, Hồ Chí Minh,22 triệu / m,Cần bán,"Đất thổ cư, đất ở",---,---,80 m,---,---,---,---,_,16m,---,---,---,---
214,Đường Xuân Thới Sơn 12, Xã Tân Thới Nhì, Huyện Hóc Môn, Hồ Chí Minh,870 triệu,Cần bán,"Đất thổ cư, đất ở",---,---,100 m,5m,20m,---,---,_,4m,---,---,---,---
215,Đường Bát Nàn, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh,3 tỷ,Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,120 m,6m,20m,---,---,_,20m,---,---,---,---
216,Đường Hồ Văn Tắng, Xã Tân Phú Trung, Huyện Củ Chi, Hồ Chí Minh,"1,99 tỷ",Cần bán,"Đất nông, lâm nghiệp",---,Sổ hồng/ Sổ đỏ,500 m,10m,50m,---,---,_,12m,---,---,---,---
217,Đường số 75, Phường Tân Phong, Quận 7, Hồ Chí Minh,Thỏa thuận,Cần bán,Nhà mặt tiền,---,---,135 m,6m,23m,4,6,_,16m,---,---,---,---
218,Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Hồ Chí Minh,"2,3 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,80 m,5m,16m,---,---,_,20m,---,---,---,---
219,Đường Số 30, Phường Tân Phong, Quận 7, Hồ Chí Minh,"3,3 tỷ",Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,80 m,5m,16m,---,---,_,20m,---,---,---,---
220,Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh,"2,9 tỷ",Cần bán,"Đất nền, liền kề, đất dự án",---,Sổ hồng/ Sổ đỏ,105 m,5m,20m,---,---,_,12m,---,---,---,---
221,Đường Hoàng Hữu Nam, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh,980 triệu,Cần bán,"Đất thổ cư, đất ở",---,Sổ hồng/ Sổ đỏ,102 m,5m,20m,---,---,_,12m,---,---,---,---
222,Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa A, Quận Bình Tân, Hồ Chí Minh,"1,46 tỷ",Cần bán,Nhà trong hẻm,---,Sổ hồng/ Sổ đỏ,55 m,4m,9m,1,2,_,5m,Y,Y,---,Y
223,Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Hồ Chí Minh,"1,69 tỷ",Cần bán,Nhà trong hẻm,---,---,64 m,"3,5m",18m,1,3,_,4m,---,---,---,---
224,Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh,"29,8 tỷ",Cần bán,"Biệt thự, nhà liền kề",---,Giấy tờ hợp lệ,150 m,7m,22m,6,8,_,10m,---,---,---,---
225,Đường Hồ Biểu Chánh, Phường 11, Quận Phú Nhuận, Hồ Chí Minh,64 tỷ,Cần bán,Nhà mặt tiền,---,Sổ hồng/ Sổ đỏ,280 m,8m,---,4,8,_,20m,Y,Y,Y,Y
